CS,Density,WC,pH,EC,F,G,Pollen_analysis,Viscosity,Purity,Price
5.49,1.72,14.39,5.47,0.77,29.63,26.13,Wildflower,4258.37,0.97,312.83
6.09,1.69,18,6.36,0.89,44.28,26.29,Wildflower,2442.63,1,321.85
3.94,1.63,23.52,4.89,0.78,34.21,34.83,Wildflower,8796.1,0.84,270.95
3.31,1.45,21.3,3.24,0.8,46.37,39.48,Wildflower,7820.76,1,321.85
4.7,1.7,23.15,5.31,0.89,34.99,23.88,Wildflower,6704.98,0.66,211.37
2.39,1.48,13.43,3.52,0.75,28.73,41.96,Wildflower,5727.04,0.8,256.46
9.57,1.72,20.68,5.2,0.89,40.45,24.92,Wildflower,5461.63,0.64,204.93
5.57,1.48,15.61,4.35,0.86,24.95,28.94,Wildflower,2465.38,1,321.85
4.03,1.51,15.84,6.41,0.88,30.77,38.09,Wildflower,8547.48,0.68,219.42
3.34,1.42,19.81,4.97,0.86,37.58,43.72,Wildflower,2289.47,1,321.85
1.61,1.54,12.92,4.05,0.86,40.27,33.86,Wildflower,6058.89,0.82,264.51
5.43,1.61,24.61,6.83,0.77,35.33,36.91,Wildflower,3746.78,0.99,319.27
8.02,1.77,21.02,2.66,0.81,32.57,28.12,Wildflower,8794.26,0.68,219.42
8.25,1.42,17.95,5.41,0.85,33.27,44.59,Wildflower,4564.5,1,321.85
2.01,1.71,16.38,4.87,0.86,34.01,22.19,Wildflower,2459.7,0.79,254.2
2.1,1.75,21.4,6.71,0.8,34.14,40.27,Wildflower,5207.66,0.66,211.37
3.6,1.76,15.52,5.82,0.81,25.45,27.04,Wildflower,6376.39,0.66,212.98
8.17,1.31,16.77,5.41,0.89,43.06,24.72,Wildflower,5033.88,0.64,204.93
2.24,1.4,17.59,4.45,0.71,30.69,44.25,Wildflower,2902.47,1,321.85
2.81,1.75,16.25,4.69,0.85,49.28,34.32,Wildflower,8276.48,0.82,264.51
5.54,1.31,20.46,4.33,0.75,43.29,25.48,Wildflower,2617.65,1,321.85
7.17,1.74,23.67,6.95,0.76,23.8,32.03,Wildflower,5597.69,0.97,312.83
6.8,1.41,21.32,6.66,0.71,24.37,23.6,Wildflower,2818.83,1,321.85
9.82,1.58,19.7,4.03,0.77,41.04,26.09,Wildflower,6172.48,0.82,264.51
4.88,1.37,13.96,5.86,0.9,27.78,28.59,Wildflower,5274.71,1,321.85
2.98,1.68,14.02,5.06,0.8,44.85,43.18,Wildflower,1761.05,0.61,196.23
1.29,1.71,14.08,3.17,0.86,35.69,35.02,Wildflower,3819.07,0.84,270.95
3.08,1.29,16.25,5.5,0.73,26.55,33.24,Wildflower,4960.07,0.66,212.98
8.57,1.47,20.08,4.84,0.77,29.85,32.03,Wildflower,8875.61,0.82,264.51
3.27,1.81,19.12,7.17,0.7,46.14,41.46,Wildflower,5512.61,0.64,204.93
6.84,1.57,18.8,6.64,0.84,35.69,44.02,Wildflower,5941.35,0.97,311.22
6.48,1.34,13.07,3.95,0.81,39.79,31.28,Wildflower,6700.08,1,321.85
3.26,1.52,22.54,5.94,0.77,20.4,43.41,Wildflower,9944.68,0.61,196.23
6.48,1.83,13.97,4.34,0.85,32.13,37.63,Wildflower,6547.03,1,321.85
8.18,1.8,14.73,3.49,0.8,29.41,30.39,Wildflower,4185.41,0.82,264.51
9.29,1.34,12.67,5.11,0.8,20.64,27.02,Wildflower,7850.18,0.66,212.98
5.02,1.37,16.57,3.23,0.72,43.2,32.54,Wildflower,4777.33,1,321.85
6.86,1.72,14.12,7.21,0.81,26.39,44.83,Wildflower,7871.23,0.95,304.78
8.68,1.33,20.46,5.65,0.84,46.23,33.2,Wildflower,6411.13,0.66,212.98
8.43,1.54,16.62,5.31,0.81,49.41,39.12,Wildflower,5941.89,0.66,212.98
3.64,1.47,14.45,2.98,0.85,32.19,43.49,Wildflower,5924.38,0.66,211.37
7.8,1.59,24.41,4.59,0.77,31.06,39.17,Wildflower,7865.71,0.84,270.95
4.83,1.35,24.31,3.91,0.7,22.21,43.03,Wildflower,5850.93,1,321.85
4.44,1.27,21.3,4.86,0.86,37.7,25.48,Wildflower,7805.99,0.84,270.95
6.53,1.74,17.36,2.82,0.85,48.9,38.8,Wildflower,1585.49,1,321.85
4.13,1.47,22.18,2.89,0.87,22.45,42.29,Wildflower,3147.82,0.64,204.93
2.37,1.35,20.5,3.1,0.74,31.74,32.13,Wildflower,6552.61,0.84,270.95
4.31,1.3,23.86,6.42,0.76,28.71,39.83,Wildflower,4849.81,0.66,212.98
5.68,1.3,14.92,7.31,0.84,37.9,25.13,Wildflower,1733.68,0.96,310.58
9.75,1.71,22.05,2.91,0.84,44.98,24.73,Wildflower,2571.88,0.64,204.93
7.27,1.73,23.55,3.97,0.85,49.33,30.27,Wildflower,3309.77,0.82,264.51
2.28,1.41,13.36,4.1,0.75,42.06,23.58,Wildflower,5555.89,1,321.85
7.18,1.25,12.53,3.49,0.76,29.74,23.17,Wildflower,6634.95,1,321.85
5.23,1.54,13.31,5.09,0.73,30.64,23.23,Wildflower,8979.39,0.97,311.22
7.51,1.78,23.66,4.66,0.89,30.91,31.23,Wildflower,5766.16,0.84,270.95
1.19,1.41,14.62,5.58,0.89,27.51,20.76,Wildflower,7112.54,0.88,282.23
6.8,1.32,17.16,3.78,0.71,23.99,32.34,Wildflower,4203.24,1,321.85
5.87,1.35,17.28,4.17,0.76,25.72,22,Wildflower,6255.33,1,321.85
5.75,1.71,21.94,5.77,0.84,49,23.6,Wildflower,8720.82,0.95,304.78
2.05,1.66,13.36,6.37,0.86,38.17,22.26,Wildflower,6822.5,0.66,211.37
1.54,1.59,16.98,6.83,0.71,31.84,30.83,Wildflower,3960.43,0.89,287.06
7.97,1.41,12.55,4.42,0.8,26.5,40.43,Wildflower,6327.09,1,321.85
8.32,1.28,23.7,3.87,0.85,32.37,20.8,Wildflower,1575.03,0.79,254.2
3.16,1.28,19.57,5.48,0.84,43.67,41.04,Wildflower,7427.49,0.64,204.93
1.94,1.48,22.86,7.18,0.84,34.34,43.07,Wildflower,5759.95,0.66,211.37
8.61,1.29,18.88,3.41,0.78,21.95,41.52,Wildflower,8980.97,0.8,256.46
7.43,1.44,23.78,3.7,0.79,49.62,38.39,Wildflower,5842.14,1,321.85
1.43,1.22,20.24,6.82,0.72,47.96,24.31,Wildflower,2115.13,0.61,196.23
7.8,1.22,22.99,5.88,0.83,24.17,35.58,Wildflower,7049.11,0.66,212.98
7.39,1.62,16.34,3.08,0.88,40.75,33.48,Wildflower,2635.27,0.82,264.51
1.47,1.28,17.32,6.77,0.81,32.14,44,Wildflower,8371.99,0.87,279.01
8.4,1.37,14.53,3.96,0.79,33.01,31.71,Wildflower,4526.14,1,321.85
6.45,1.53,22.87,6.83,0.88,41.83,42.64,Wildflower,1972.13,0.92,296.08
6.58,1.36,18.77,4.12,0.74,46.06,20.26,Wildflower,4900.03,1,321.85
6.01,1.34,19.92,3.21,0.77,37.13,29.13,Wildflower,4363.31,1,321.85
4.66,1.63,20.45,6.07,0.78,44.89,38.89,Wildflower,6946.3,0.66,212.98
5.9,1.52,17.7,7.43,0.71,24.08,42.52,Wildflower,5422.46,1,321.85
1.27,1.61,21.34,6.47,0.81,47.31,24.2,Wildflower,2152.15,0.61,196.23
3.53,1.25,23.49,2.76,0.77,34.43,33.35,Wildflower,4091.32,0.68,219.42
6.11,1.63,13.2,3,0.85,37.53,20.49,Wildflower,6402.17,1,321.85
5.18,1.47,15.58,3.92,0.89,25,37.17,Wildflower,9059.36,1,321.85
6.72,1.49,24.48,6.57,0.9,41.17,21.17,Wildflower,7832.41,0.95,304.78
3.86,1.52,14.6,4.26,0.71,44.01,34.56,Wildflower,8123.49,0.82,264.51
7.83,1.26,20.77,4.28,0.77,26.68,42.8,Wildflower,2314.82,0.77,247.76
1.83,1.75,15.65,4.7,0.89,36.06,39.57,Wildflower,1981.87,0.82,262.26
4.52,1.75,24.67,6.68,0.78,35.57,31.26,Wildflower,8417.99,0.68,219.42
2.83,1.63,20.11,5.05,0.82,35.87,39.27,Wildflower,6541.32,0.68,219.42
4.65,1.8,16.17,2.83,0.75,20.01,27.46,Wildflower,9560.19,0.64,204.28
1.97,1.59,12.35,3.13,0.77,26.9,31.79,Wildflower,6856.99,0.82,264.51
8.04,1.29,16.9,6.33,0.75,33.17,43.72,Wildflower,9194.93,0.87,279.01
7.3,1.4,15.53,6.61,0.71,39.91,39.76,Wildflower,1754.99,0.9,288.02
1.57,1.76,15.41,3.91,0.71,43.28,23.58,Wildflower,8146.54,0.8,256.46
7.76,1.76,15.79,6.49,0.86,43.89,38.11,Wildflower,2269.04,0.64,204.28
9.88,1.72,20.8,4.42,0.79,20,29.07,Wildflower,2324.04,0.8,255.81
9.14,1.48,23.91,7.47,0.76,47.62,41.05,Wildflower,6692.65,0.64,204.93
1.54,1.65,16.55,3.17,0.83,44.33,23.67,Wildflower,3189.07,0.8,256.46
1.37,1.3,13.71,5.18,0.9,28.59,39.79,Wildflower,7416.62,0.66,212.98
1.25,1.41,15.2,2.51,0.84,48.49,31.82,Wildflower,9442.26,0.9,290.28
4.56,1.3,14.05,3.06,0.74,45.8,27.59,Wildflower,2995.67,0.82,264.51
4.77,1.29,23.95,5.97,0.74,43.15,39.94,Wildflower,3037.02,0.66,212.98
5.67,1.85,19.45,6.12,0.77,36,34.92,Wildflower,4141.79,0.99,319.27
5.19,1.23,12.65,7.06,0.82,36.54,33.04,Wildflower,9692.85,0.96,310.58
8.06,1.54,19.95,5.51,0.85,47.07,25.65,Wildflower,2069.27,0.64,204.28
9.14,1.63,16.02,4.96,0.77,20.65,29.23,Wildflower,2017.35,0.8,255.81
7.71,1.38,12.63,2.8,0.83,38.35,43.46,Wildflower,5599.93,0.9,288.67
7.31,1.85,18.65,5.2,0.79,41.29,27.27,Wildflower,1568.21,0.64,204.28
7.32,1.79,12.44,3.78,0.81,47.59,43.73,Wildflower,6114.33,0.8,256.46
6.96,1.63,12.38,6.01,0.8,29.44,22.3,Wildflower,4044.84,0.95,304.78
8.37,1.8,21.4,3.86,0.86,25.17,29.59,Wildflower,1586.88,0.8,255.81
2.78,1.72,17.77,7.33,0.72,38.53,37.9,Wildflower,9340.63,0.89,287.06
4.58,1.29,20.58,7.48,0.84,28.15,39.16,Wildflower,9744.77,0.64,204.28
2.88,1.48,22.86,5.66,0.82,44.45,35.07,Wildflower,6294.4,0.66,212.98
8.43,1.79,19.51,4.37,0.71,31.65,37.15,Wildflower,8422.24,0.84,270.95
2.9,1.49,12.23,2.71,0.79,20.42,33.95,Wildflower,8687.74,0.66,212.98
3.26,1.6,22.59,3.5,0.88,34.79,36.4,Wildflower,6154.41,0.84,270.95
2.32,1.51,21.06,3.44,0.76,39.92,33.48,Wildflower,9413.63,0.84,270.95
6.94,1.82,21.38,2.8,0.71,48.27,27.07,Wildflower,3224.09,0.97,312.83
3.81,1.26,21.39,3.24,0.89,28.13,32.92,Wildflower,9365.73,0.82,264.51
3.6,1.62,13.69,4.08,0.72,42.44,42.12,Wildflower,4880.39,0.8,256.46
1.68,1.55,19.27,4.87,0.79,25.26,29.61,Wildflower,9498.81,0.82,264.51
5.73,1.4,21.99,7.33,0.88,33.33,34.86,Wildflower,7425.89,1,321.85
1.11,1.31,12.64,2.81,0.71,48.6,27.83,Wildflower,5706.09,0.66,212.98
8.49,1.41,20.93,5.08,0.79,36.38,40.08,Wildflower,7099.07,0.9,288.67
5.37,1.74,23.31,2.61,0.82,44.52,31.16,Wildflower,7770.93,0.97,312.83
5.68,1.26,17.49,4.73,0.77,20.83,31.61,Wildflower,4101.4,1,321.85
6.18,1.62,23.78,4.48,0.83,34.42,25.93,Wildflower,4276.28,1,321.85
1.78,1.64,14.35,5.92,0.84,23.4,40.02,Wildflower,1888.92,0.61,196.23
1.93,1.72,19.45,2.8,0.77,34.3,27.69,Wildflower,7169.89,0.68,219.42
8.11,1.69,24.38,7.01,0.8,24.6,29.94,Wildflower,3147.32,0.66,212.98
3.15,1.39,12.92,3.15,0.73,30.29,39.01,Wildflower,4808.8,1,321.85
5.56,1.26,20.44,2.99,0.72,38.6,20.93,Wildflower,6201.28,0.97,311.22
6.6,1.67,13.27,5.87,0.73,34.21,43.11,Wildflower,3797.15,0.97,311.22
1.49,1.53,21.92,6.25,0.87,23.97,29.52,Wildflower,2642.7,0.66,212.98
1.94,1.29,14.86,5.72,0.88,41.17,35.13,Wildflower,8118.05,0.66,212.98
8.24,1.62,23.96,5.77,0.86,24.73,24.66,Wildflower,3354.34,0.64,204.93
8.87,1.42,12.7,7.09,0.84,24.67,32.94,Wildflower,4395.97,0.9,290.28
1.47,1.23,18.97,3.15,0.84,49.89,43.21,Wildflower,8123.21,0.8,256.46
7.8,1.85,19.87,3.13,0.88,42.26,41.06,Wildflower,3202.18,0.8,256.46
2.44,1.44,23,6.14,0.7,46.94,35.14,Wildflower,9804.66,0.88,281.58
2.95,1.71,16.77,6.57,0.86,29.09,31.16,Wildflower,4227.62,0.66,212.98
8.4,1.24,14.21,4.5,0.77,48.57,32.99,Wildflower,7217.73,0.82,264.51
5.89,1.59,20.46,6.87,0.73,43.6,28,Wildflower,5971.76,0.97,312.83
9.31,1.46,24.91,5.62,0.82,44.81,23.16,Wildflower,9936.05,0.61,196.23
2.36,1.81,18.77,5.95,0.78,41.33,22.32,Wildflower,3779.38,0.64,204.93
2.86,1.48,13.13,3.02,0.81,46.91,38.35,Wildflower,3866.64,0.82,264.51
9.56,1.7,18.24,4.91,0.81,32.44,44.69,Wildflower,5188.34,0.82,262.9
2.91,1.67,14.55,7.07,0.75,48.85,30.07,Wildflower,7025.51,0.66,212.98
2.54,1.66,16.61,3.63,0.77,28.4,40.89,Wildflower,4329.44,0.8,256.46
5.87,1.58,17.46,6.3,0.78,26.3,27.03,Wildflower,2908.19,1,321.85
3.05,1.77,20.23,2.84,0.82,46.4,43.55,Wildflower,8519.49,0.64,204.93
7.06,1.73,22.82,7.41,0.72,27.86,26.17,Wildflower,1528.86,0.94,304.13
8.52,1.23,17.03,4.45,0.74,29.1,21.35,Wildflower,4793.1,1,321.85
6.13,1.25,22.13,3.5,0.72,43.59,23.8,Wildflower,5794.21,1,321.85
1.07,1.73,18.1,2.92,0.76,48.54,30.77,Wildflower,3328.45,0.66,212.98
5.71,1.63,17.01,4.75,0.71,29.52,40.14,Wildflower,3095.1,1,321.85
4.45,1.64,20.89,6.91,0.8,36.75,27.07,Wildflower,9751.29,0.66,210.72
2.7,1.35,13.28,7.32,0.84,27.56,20.23,Wildflower,2691.39,0.64,204.93
5.23,1.3,23.07,4.46,0.77,24.81,30.85,Wildflower,3062.87,1,321.85
8.58,1.33,13.06,6.21,0.72,20.76,22.09,Wildflower,5071.12,0.64,204.93
9.61,1.79,12.54,4.24,0.87,31.37,26.17,Wildflower,9611.22,0.82,262.26
6.17,1.42,19.33,3.87,0.87,33.12,22.1,Wildflower,5235.31,1,321.85
7.66,1.67,19.84,6.38,0.77,24.99,27.59,Wildflower,6389,0.66,212.98
7.44,1.7,21.29,3,0.77,46.94,42.44,Wildflower,2417.91,0.61,196.23
4.22,1.76,17.99,3.8,0.86,38.2,34.75,Wildflower,7270.02,1,321.85
9.52,1.24,22.02,6.15,0.75,21.11,27.74,Wildflower,8478.86,0.66,212.98
3.44,1.5,14.57,7.28,0.86,25.42,33.37,Wildflower,6108.01,0.66,212.98
1.84,1.77,22.64,4.6,0.86,45.49,23.37,Wildflower,9128.12,0.8,256.46
5.88,1.34,14.23,5.51,0.82,29.35,30.94,Wildflower,6405.17,0.97,312.83
9.18,1.31,18.75,5.74,0.83,40.37,26.43,Wildflower,6758.27,0.66,212.98
3.75,1.39,18.44,6.71,0.84,40.73,33.85,Wildflower,6495.16,0.9,290.28
8.9,1.76,16.88,5.5,0.83,24.91,39.34,Wildflower,2204.04,0.84,271.92
8.48,1.37,23.95,4.32,0.72,26.05,29.14,Wildflower,3781.54,1,321.85
9.93,1.56,13.58,6.27,0.71,44.63,35.63,Wildflower,8492.47,0.66,212.98
3.99,1.33,24.15,3.72,0.86,37.16,20.89,Wildflower,9078.81,0.82,262.9
3.67,1.79,21.93,3.27,0.81,41.09,38.24,Wildflower,9982.36,0.8,255.81
2.14,1.77,24.88,5.53,0.83,41.29,38.66,Wildflower,6382.48,0.66,212.98
5.61,1.52,19.73,7.44,0.79,40.57,41.34,Wildflower,6393.84,0.95,304.78
1.33,1.83,24.15,7.11,0.84,40.62,23.36,Wildflower,3886.99,0.64,204.93
7.48,1.41,17.48,4.02,0.8,31.83,25.87,Wildflower,4523.23,1,321.85
2.3,1.28,16.27,4.07,0.73,22.86,41.08,Wildflower,6870.33,0.8,256.46
6.12,1.75,17.41,3.84,0.85,34.53,43.41,Wildflower,3138.44,1,321.85
5.7,1.4,12.92,6.03,0.82,33.09,34.03,Wildflower,2304.06,1,321.85
1.08,1.36,23.47,5.76,0.88,25.48,29.26,Wildflower,9166.81,0.66,212.98
3.38,1.72,12.39,6.03,0.78,48.19,41.18,Wildflower,4958.72,0.64,204.93
6.19,1.66,18.57,6.22,0.81,23.3,23.87,Wildflower,3199.33,0.95,304.78
2.26,1.76,21.8,5.73,0.72,42.14,43.8,Wildflower,3182.19,0.64,204.93
2.78,1.28,21.84,4.75,0.76,45.78,32.87,Wildflower,6489.98,0.82,264.51
6.44,1.46,16.88,3.19,0.85,47.26,40.67,Wildflower,4329.71,1,321.85
8.15,1.68,24.5,5.86,0.77,32.97,22.78,Wildflower,3255.65,0.66,211.37
2.21,1.85,23.94,7.49,0.71,42.99,40.73,Wildflower,3680.09,0.64,204.93
5.49,1.86,24.6,6.92,0.85,47.69,20.75,Wildflower,6644.99,0.95,304.78
3.85,1.21,18.37,3.9,0.77,33.37,44.81,Wildflower,1710.29,0.79,254.2
2.83,1.34,14.48,6.43,0.89,46.47,27.29,Wildflower,7148.97,0.66,212.98
6.97,1.76,22.23,6.13,0.71,29.57,30.24,Wildflower,8690.72,0.97,312.83
3.48,1.83,19,7.02,0.77,34.18,28.97,Wildflower,6283.88,0.68,219.42
9.84,1.33,24.89,4.89,0.87,40.72,23.4,Wildflower,5290.33,0.8,256.46
2.69,1.25,18.17,6.06,0.82,43.62,29.19,Wildflower,2745.67,0.66,212.98
8.71,1.37,21.34,2.57,0.75,35.02,34.79,Wildflower,5462.49,0.92,296.72
3.52,1.54,13.61,7.01,0.85,25.94,29.19,Wildflower,4152.1,0.66,212.98
2.07,1.66,22.77,4.55,0.78,44.53,33.46,Wildflower,9063.68,0.82,264.51
3.78,1.21,15.9,4.79,0.7,21.18,41.82,Wildflower,5582.63,0.8,256.46
8.87,1.38,22.95,3.7,0.72,44.49,34.57,Wildflower,2379.17,1,321.85
4.3,1.77,12.4,5.9,0.77,44.53,36.55,Wildflower,3181.75,0.66,212.98
1.76,1.23,21.22,6.67,0.8,37.68,36.93,Wildflower,1909.02,0.66,210.72
1.15,1.8,19.01,5.38,0.89,34.01,44.33,Wildflower,4844.26,0.66,211.37
3.33,1.44,22.89,3.19,0.88,25.73,37.32,Wildflower,5508.72,1,321.85
3.78,1.81,17.79,6.14,0.71,29.35,30.13,Wildflower,5833.99,0.87,280.62
6.72,1.61,17.13,4.13,0.79,47.69,30.18,Wildflower,7168.07,1,321.85
6.09,1.83,16.09,3.32,0.83,40.19,44.62,Wildflower,2294.86,1,321.85
2.37,1.75,22.16,5.88,0.72,35.27,43.76,Wildflower,6807.99,0.66,211.37
4.59,1.78,16.82,4.84,0.73,42.24,43.1,Wildflower,7704.02,1,321.85
7.25,1.8,14.89,4.25,0.9,28.59,38.32,Wildflower,2049.97,0.8,255.81
5.72,1.4,18.79,7.07,0.89,27.23,20.66,Wildflower,7987.79,1,321.85
5.8,1.86,21.47,7.08,0.82,28.77,26.5,Wildflower,3673.79,0.97,312.83
6.35,1.37,22.93,3.69,0.85,20.86,28.74,Wildflower,1588.56,1,321.85
4.47,1.47,12.88,4.27,0.7,46.12,36.92,Wildflower,5798.33,0.82,264.51
6.84,1.81,24.94,7.44,0.83,37.09,23.23,Wildflower,5238.83,0.97,311.22
1.92,1.32,15.88,4.12,0.89,49.13,29,Wildflower,4818.56,0.82,264.51
2.01,1.74,24.36,6.38,0.84,28.61,24.08,Wildflower,6814.93,0.64,204.93
1.61,1.61,14.09,3.2,0.7,44.41,26.5,Wildflower,7601.8,0.82,264.51
7.54,1.82,17.9,3.74,0.86,20.51,35.9,Wildflower,4195.66,1,321.85
4.68,1.27,14.59,5.3,0.77,26.26,28.24,Wildflower,9041.97,0.66,212.98
3.84,1.78,24.18,6.08,0.73,29,26.02,Wildflower,1501.87,0.64,204.28
7.39,1.51,19.13,4.72,0.79,32.94,20.76,Wildflower,7771,0.82,262.9
6.6,1.48,17.85,3.5,0.82,20.42,38.61,Wildflower,4730.27,1,321.85
8.74,1.85,17.66,5.65,0.74,47.17,44.77,Wildflower,2134.8,0.82,263.87
5.65,1.84,19.03,7.48,0.75,40.99,35.77,Wildflower,8346.47,0.97,312.83
8.5,1.8,24.55,5.56,0.76,31.93,36.86,Wildflower,5380.95,0.68,219.42
4.28,1.7,21.91,7.16,0.86,45.41,45,Wildflower,6739.38,0.64,204.93
5.81,1.4,15.97,4.23,0.8,38.49,27.9,Wildflower,5397.44,1,321.85
5.67,1.68,15.92,5.57,0.77,35.69,26.54,Wildflower,8017.82,0.99,319.27
5.69,1.45,18.49,3.73,0.74,47,23.45,Wildflower,6220.03,1,321.85
4.36,1.5,18.64,6.04,0.89,30.08,39.9,Wildflower,8084.98,0.68,219.42
9.4,1.27,17.47,6.58,0.78,46.29,29.28,Wildflower,4745.93,0.87,280.62
5.59,1.33,15.51,3.14,0.83,25.5,41.65,Wildflower,6474.01,1,321.85
7.84,1.72,21.36,4.42,0.73,41.61,22.43,Wildflower,8616.24,0.8,256.46
5.41,1.82,17.7,3.16,0.72,37.57,41.62,Wildflower,5693.19,1,321.85
5.89,1.38,18.89,4.67,0.74,32.19,35.99,Wildflower,7445.89,1,321.85
2.4,1.58,16.7,4.24,0.73,27.79,38.12,Wildflower,8433.77,0.82,264.51
2.19,1.39,14.33,6.98,0.71,24.11,43.94,Wildflower,9566.17,0.85,273.53
6.64,1.77,13.07,4.91,0.8,22.45,42.76,Wildflower,4793.53,1,321.85
7.97,1.34,23.62,2.69,0.87,35.48,32.03,Wildflower,9947.35,0.66,210.72
1.94,1.51,21.97,4.36,0.82,20.6,20.64,Wildflower,8058.34,0.8,256.46
5.18,1.73,12.35,3.49,0.77,35.9,22.21,Wildflower,8100.26,1,321.85
7.52,1.66,12.29,4.88,0.84,29.89,33.24,Wildflower,9099.29,0.82,264.51
5.3,1.52,19.5,3.43,0.79,48.05,29.46,Wildflower,1502.57,1,321.85
4.36,1.56,14.52,6.16,0.86,42.45,34.47,Wildflower,6943.89,0.66,212.98
7.58,1.62,17.59,7.21,0.86,21.6,38.4,Wildflower,2750.02,0.87,280.62
5.63,1.66,16.31,6.82,0.88,49.27,41.16,Wildflower,6137.51,0.95,304.78
6.49,1.32,18.79,7.44,0.73,39.2,32.41,Wildflower,6318.3,0.99,319.27
3.12,1.69,13.47,6.37,0.75,33.06,34.42,Wildflower,9780.04,0.66,210.72
4.44,1.25,19.58,6.09,0.73,37.8,43.81,Wildflower,8391.85,0.66,211.37
5.47,1.83,17.43,3.76,0.88,43.97,35.22,Wildflower,2918.01,1,321.85
5.09,1.37,24.37,4.45,0.78,39.72,32.68,Wildflower,2807.57,1,321.85
2.36,1.38,21.24,3.95,0.88,29.65,41.95,Wildflower,7848.18,1,321.85
6.25,1.43,14.73,2.9,0.89,29.68,33.74,Wildflower,9715.46,1,321.85
8.02,1.4,19.74,6.84,0.77,30.84,40.5,Wildflower,3430.94,0.9,288.67
2.26,1.26,19.44,5.01,0.77,38.71,22.14,Wildflower,6836.36,0.66,211.37
7.45,1.77,19.1,3.39,0.75,23.9,42.3,Wildflower,7377.31,0.8,256.46
2.94,1.78,22.05,2.6,0.76,23.3,38.87,Wildflower,7937.84,0.66,212.98
6.45,1.47,19.43,3.67,0.8,36.01,33.89,Wildflower,6656.78,1,321.85
7.19,1.86,17,3.5,0.82,25.82,20.61,Wildflower,9338.74,1,321.85
8.5,1.72,20.05,2.96,0.84,27.74,40.98,Wildflower,3529.81,0.64,204.93
8.68,1.52,21.5,3.06,0.87,23.48,23.49,Wildflower,4284.44,0.8,256.46
1.72,1.33,22.22,4.57,0.71,36.11,27.52,Wildflower,9724.65,0.82,262.26
2.04,1.75,20.48,3.7,0.88,34.22,40.84,Wildflower,7808,0.82,262.9
6.35,1.8,23,3.43,0.84,49.76,37.27,Wildflower,2887.01,1,321.85
8.82,1.37,22.54,3.87,0.8,34.58,23.62,Wildflower,8646.24,1,321.85
6.19,1.47,16.99,6.55,0.82,23.21,41.34,Wildflower,6214.21,1,321.85
9.1,1.61,22.94,3.87,0.75,44.85,42.83,Wildflower,6685.96,0.8,256.46
1.88,1.82,13.93,7.35,0.81,27.9,32.75,Wildflower,8963.61,0.66,212.98
7.8,1.61,17.63,4.5,0.74,38.33,42.51,Wildflower,3190.47,1,321.85
6.01,1.52,24.13,7.31,0.8,44.88,22.07,Wildflower,5098.32,0.95,304.78
2.43,1.68,14.85,4.09,0.78,32.63,22.17,Wildflower,4300.88,0.82,262.9
9.43,1.82,20.97,4.85,0.87,32.79,30.87,Wildflower,7437.99,0.84,270.95
4.26,1.77,20.64,4.3,0.73,47.49,41.95,Wildflower,6565.49,0.8,256.46
7.13,1.25,19.24,4.3,0.85,49.43,26.82,Wildflower,3002.69,1,321.85
9.43,1.86,21.82,3.32,0.71,31.92,38.76,Wildflower,7112.24,0.84,270.95
9.61,1.52,23.12,5.12,0.82,23.59,42.38,Wildflower,5808.46,0.64,204.93
2.16,1.55,13.02,5.44,0.83,20.22,25.86,Wildflower,9482.75,0.66,212.98
5.3,1.84,16.22,5.44,0.89,42.41,21.15,Wildflower,5264.53,0.95,304.78
3.06,1.39,21.7,3.83,0.79,22.91,34.82,Wildflower,5408.26,1,321.85
1.88,1.74,22.37,3.64,0.77,26.85,44.97,Wildflower,6065.22,0.8,256.46
7.14,1.35,17,3.98,0.85,29.17,40.37,Wildflower,8070.95,1,321.85
7.14,1.84,20.26,5.09,0.78,40.51,30.45,Wildflower,2542.5,0.97,312.83
7.41,1.75,12.56,3.81,0.86,21.52,41.06,Wildflower,7236.99,0.8,256.46
4.75,1.62,14.79,4.19,0.82,44.51,24.19,Wildflower,9150.11,0.8,256.46
8.24,1.51,22.9,2.59,0.81,29.39,29.58,Wildflower,6983.85,0.66,212.98
2.88,1.24,15.3,4.9,0.83,49.71,27.3,Wildflower,9913.99,0.8,255.81
6.6,1.24,14.71,3.18,0.75,37.8,39.34,Wildflower,5138.47,1,321.85
3.23,1.33,23.89,3.31,0.88,48.57,36.82,Wildflower,4389.8,0.82,264.51
5.29,1.78,21.33,6.27,0.85,23.12,39.26,Wildflower,4674.47,0.97,312.83
9.97,1.29,21.79,4.59,0.87,32.65,44.97,Wildflower,4589.86,0.82,262.9
4.93,1.68,24.5,2.82,0.76,41.13,37.52,Wildflower,8718,0.97,312.83
9.52,1.57,18.85,6.11,0.86,37.26,28.12,Wildflower,4453.84,0.68,219.42
8.99,1.33,20.36,4.59,0.73,44.18,24.28,Wildflower,5992.12,0.8,256.46
4.55,1.4,22.07,2.9,0.84,39.95,30.56,Wildflower,5748.24,0.92,296.72
7.49,1.5,15.7,4.42,0.88,21.18,36.76,Wildflower,6884.53,0.82,264.51
5.93,1.52,12.59,6.28,0.76,37.51,27.2,Wildflower,8279.61,0.99,319.27
4.49,1.53,14.52,3.11,0.83,38.71,30.59,Wildflower,5721.19,0.84,270.95
5.16,1.6,18.86,5.27,0.74,44.62,39.24,Wildflower,7477.33,0.97,312.83
